Time,ID,Lon,Lat,Alt,#WiFi networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
2016-10-27 16:25:51,SHIELD Tablet,30.80668250741814,30.17019433204196,49.178478327439656,4,Melinek,14:ae:db:45:27:5d,2462,-67,melsara,10:0d:7f:86:a4:42,2462,-85,daniellalovecat-2.4,3c:1e:04:05:cc:6a,2442,-95,gattegnio,ec:08:6b:67:fc:c5,2437,-96
2017-10-27 16:27:53,SHIELD Tablet,29.81050710096076,29.16869113485125,44.489720639200534,6,oved-main,74:da:3a:97:66:9e,2437,-77,oved-main_2EX,74:da:38:97:66:9d,2437,-79,DIRECT-A4-HP OfficeJet 6950,c8:d3:ff:f9:48:a5,2412,-85,HOTBOX6,d8:fb:5e:17:62:4d,2472,-90,bait,10:be:f5:3f:b2:ce,2442,-93,oved-main,74:da:39:54:b8:1d,2437,-96
2017-10-27 16:24:39,SHIELD Tablet,34.8027710954512,32.16777936548807,43.800925838180895,10,island-3927A0,d4:68:4d:79:27:a3,2452,-72,Rozalin.co.il,08:5b:0e:8e:06:97,2412,-73,DIRECT-51-HP DeskJet 4670 series,30:e1:71:f0:7b:52,2457,-78,SavantS,e4:f4:c6:d8:e8:60,2437,-81,Bezeq Free,5a:b0:ce:33:a4:d6,2412,-81,Video Connection,6c:b0:ce:e8:2a:b0,2412,-82,Benhamou,c4:12:f5:f5:45:f6,2422,-82,BezeqNGN_98087,4c:60:de:42:20:28,2462,-83,hagit_2.4,6c:b0:ce:33:a4:d5,2412,-83,Daniela,14:ae:db:32:cf:42,2442,-84
2017-10-27 16:19:56,SHIELD Tablet,34.803616397282674,32.16824863345016,39.02255411832467,6,Biana_n,14:ae:db:b2:8e:75,2462,-85,HOT123,c0:ac:54:f6:c5:4b,2412,-88,klara-012,c4:12:f5:fd:d1:94,2417,-89,gella555,00:22:b0:75:7d:eb,2437,-94,Bezeq Free,5a:b0:ce:33:a4:d6,2412,-94,hagit_2.4,6c:b0:ce:33:a4:d5,2412,-96
2017-10-27 16:28:07,SHIELD Tablet,34.80990526256212,32.16765491327528,43.51845960559633,6,oved-main,74:da:3a:97:66:9e,2437,-77,oved-main_2EX,74:da:38:97:66:9d,2437,-79,DIRECT-A4-HP OfficeJet 6950,c8:d3:ff:f9:48:a5,2412,-85,HOTBOX6,d8:fb:5e:17:62:4d,2472,-90,bait,10:be:f5:3f:b2:ce,2442,-93,oved-main,74:da:39:54:b8:1d,2437,-96
2017-10-27 16:25:10,SHIELD Tablet,34.80467787412063,32.16804885869337,47.55695244702102,1,gella555,00:22:b0:75:7d:eb,2437,-96
2017-10-27 16:25:09,SHIELD Tablet,34.80451829564009,32.16807012717975,47.5589991436047,10,klara-012,c4:12:f5:fd:d1:94,2417,-83,HOTBOX-3A94,c0:ac:54:f8:0c:1f,2462,-85,BezeqFree,6a:12:f5:84:50:41,2447,-87,opus7,c4:12:f5:84:50:40,2447,-88,Roikhel,9c:d6:43:23:99:91,2437,-89,anna2.4,a0:ab:1b:62:76:ac,2417,-89,wingate,70:3a:cb:5f:4f:25,2437,-89,Home2,ac:f1:df:9d:f7:91,2462,-90,SHURSH,00:22:3f:80:0d:4e,2452,-93,yves,00:90:8f:39:38:60,2447,-94
2017-10-27 16:26:03,DVIR,34.80719154989027,32.17131765246347,50.78873523162959,4,Melinek,14:ae:db:45:27:5d,2462,-67,melsara,10:0d:7f:86:a4:42,2462,-85,daniellalovecat-2.4,3c:1e:04:05:cc:6a,2442,-95,gattegnio,ec:08:6b:67:fc:c5,2437,-96
2017-10-27 16:18:50,SHIELD Tablet,34.80888987334706,32.16689631014436,42.95830812528492,8,888Free,06:8d:db:6e:71:bf,2412,-87,DIRECT-a8-HP M477 LaserJet,aa:6b:ad:04:c6:a8,2437,-88,,02:8d:db:6e:71:be,2462,-89,888Guest,02:8d:cb:6e:71:bf,5220,-89,888Free,06:8d:cb:6e:71:bf,5220,-89,888Corp,0a:8d:db:6e:71:be,2462,-90,,06:8d:db:6e:71:be,2462,-94,888Corp,0a:8d:db:6e:71:26,2437,-97
2017-10-27 16:25:39,SHIELD Tablet,34.80626417804201,32.168941978847066,47.63028681007018,9,Annatel_3372,74:da:38:a9:0c:3e,2417,-86,Home2,ac:f1:df:9d:f7:91,2462,-90,Home,14:ae:db:53:0c:2d,2437,-93,yves,00:90:8f:39:38:60,2447,-94,ida,c0:c1:c0:ce:4d:06,2462,-94,Murad1,f8:d1:11:75:25:64,2412,-95,TP-LINK_UKTVWATCH_EXT,8a:1b:5e:83:d7:c2,2447,-95,shor_Ext,e2:91:f5:b6:ec:a8,2462,-95,shlomo1,00:8c:54:8f:59:51,2437,-99
2017-10-27 16:19:09,SHIELD Tablet,34.80724915968755,32.16738290292402,41.313957486288615,10,Guest Neetwork MM,94:f6:65:1b:b2:28,2432,-87,Efrat Networks MM,94:f6:65:5b:b2:28,2432,-88,BERTOC-HOT,e0:ce:c3:8a:ad:63,2472,-90,Barda_2,74:da:38:56:ed:e0,2412,-93,EL,14:ae:db:3d:b1:52,2452,-93,Home.,a0:ab:1b:62:a7:bc,2412,-94,Vexlerar,e4:6f:13:70:97:c4,2452,-95,Ester_wifi,84:26:15:eb:2d:b3,2462,-95,INGENEO,cc:b2:55:e8:4c:e6,2437,-96,KaymeraDev,00:f6:63:3a:f4:81,2412,-96
2017-10-27 16:25:25,SHIELD Tablet,34.80592761936254,32.167727587280915,46.99102469755074,3,Annatel_3372,74:da:38:a9:0c:3e,2417,-86,Home,14:ae:db:53:0c:2d,2437,-93,shor_Ext,e2:91:f5:b6:ec:a8,2462,-95
2017-10-27 16:16:45,SHMUEL,34.80988155918773,32.16766121892341,39.018065819940986,10,HOTBOX-D1D7,fc:b4:e6:cf:d1:dd,2412,-77,888Corp,0a:8d:db:6e:71:6d,2412,-79,888Guest,02:8d:db:6e:71:bf,2412,-80,888Free,06:8d:db:6e:71:6d,2412,-81,888Guest,02:8d:db:6e:71:6d,2412,-81,Mouly,7c:b7:33:2e:76:73,2462,-83,888Corp,0a:8d:db:6e:71:bf,2412,-86,888Free,06:8d:db:6e:71:bf,2412,-86,,06:8d:db:6e:71:be,2462,-86,,02:8d:db:6e:71:be,2462,-86
2017-10-27 16:19:51,SHIELD Tablet,34.8039689303318,32.16820290277182,38.71756509605181,6,Heifes,20:0c:c8:10:c8:11,2412,-88,Bezeq Free D02536,72:0c:c8:10:c8:12,2412,-89,Annatel_3372.5,74:da:38:a9:0c:43,5220,-90,P-HOME,2c:5d:93:11:60:b8,2467,-90,shor_Ext,e2:91:f5:b6:ec:a8,2462,-94,DIRECT-17-HP DeskJet 3830 series,94:57:a5:4a:f4:89,2462,-94
2017-10-27 16:24:53,SHIELD Tablet,34.80311068748561,32.167748736875794,45.76948134597095,8,klara-012,c4:12:f5:fd:d1:94,2417,-83,HOTBOX-3A94,c0:ac:54:f8:0c:1f,2462,-85,BezeqFree,6a:12:f5:84:50:41,2447,-87,opus7,c4:12:f5:84:50:40,2447,-88,Roikhel,9c:d6:43:23:99:91,2437,-89,anna2.4,a0:ab:1b:62:76:ac,2417,-89,wingate,70:3a:cb:5f:4f:25,2437,-89,SHURSH,00:22:3f:80:0d:4e,2452,-93
2017-10-27 16:26:09,SHIELD Tablet,34.80746254753361,32.17189056898307,51.12442568890585,5,rojavi,00:50:7f:f1:18:64,2462,-69,rojavi2017,00:1d:aa:0f:59:f0,2462,-84,rojavi_EXT,d4:6e:0e:3c:2f:99,2462,-84,Bezeq Free,52:f1:df:a0:70:ea,2437,-86,upstairs,d4:6e:0e:cf:bc:ca,2437,-90
2017-10-27 16:19:14,SHIELD Tablet,34.80662290618607,32.167616982375094,41.286480770321894,10,HP-Print-A0-LaserJet Pro MFP,30:f7:72:6e:8e:a0,2437,-79,RS_GUEST,ec:08:6b:38:0d:0e,2467,-86,Training Room,8e:15:44:ac:d4:e4,2437,-88,HP-Print-b7-LaserJet 300,34:23:87:36:c9:b7,2412,-90,Rainbow Guest,a2:6c:ac:f3:6a:69,2432,-93,Maxillent,90:6c:ac:60:6c:8b,2422,-93,FlixU,cc:b2:55:e5:ce:f3,2437,-93,BlueSnap-Guest-2.4GHz,c0:56:27:a0:6c:9a,2422,-93,EL5,14:ae:db:3d:b1:55,5240,-94,Maxillent_Guest,a2:6c:ac:60:6c:8b,2422,-94
2017-10-27 16:19:40,SHIELD Tablet,34.805424308152844,32.16802035700693,38.97814492833588,2,gabriel,90:8d:78:50:6a:12,2462,-93,Home,14:ae:db:53:0c:2d,2437,-94
2017-10-27 16:25:21,SHIELD Tablet,34.805736338708385,32.16782940660959,47.01517831659287,1,gella555,00:22:b0:75:7d:eb,2437,-96
